week_id,region,channel,drug_type,list_price,competitor_price,discount_rate,copay,ad_spend_k,rep_visits,units_sold,revenue,profit
12,Alberta,Rep_Visit,Brand,203.19,188.45,0.124,20.32,30.4,11,235,41825.31,-4448.52
34,Quebec,Conference,Generic,65.96,62.65,0.026,25.47,41.92,2,448,28783.89,-23675.7
42,BC,Email,Brand,196.58,176.13,0.35,31.61,26.31,4,209,26705.62,-15111.62
33,Quebec,Email,Brand,218.9,196.2,0.049,30.42,32.36,4,213,44352.52,-2774.09
27,Alberta,Rep_Visit,Brand,205.16,211.79,0.125,13.96,32.47,6,215,38614.73,-11528.73
39,Alberta,Rep_Visit,Generic,73.55,67.32,0.096,19.51,23.5,7,308,20486.23,-10530.44
13,Quebec,Rep_Visit,Brand,226.17,235.6,0.171,18.69,13.19,22,339,63529.7,23851.8
44,Quebec,Rep_Visit,Brand,209.29,186.85,0.258,25.69,34.93,13,323,50187.65,-6825.71
14,Quebec,Digital_Ads,Brand,194.55,188.45,0.234,29.8,9.37,4,243,36193.7,9630.96
25,Ontario,Digital_Ads,Brand,237.54,213.65,0.334,22.15,10.0,4,313,49530.36,17507.73
22,Ontario,Digital_Ads,Brand,189.92,191.6,0.132,20.93,50.83,5,335,55249.08,-20337.92
25,BC,Conference,Generic,73.19,68.2,0.094,29.14,41.48,4,360,23864.43,-27644.32
24,Ontario,Rep_Visit,Generic,77.1,73.63,0.225,16.01,4.89,11,515,30784.47,12624.29
46,Ontario,Digital_Ads,Brand,246.59,246.47,0.163,35.09,17.7,5,257,53026.23,15798.79
2,Ontario,Email,Brand,211.91,201.69,0.202,31.4,26.53,1,256,43286.71,-1527.69
44,BC,Conference,Brand,228.24,193.68,0.158,33.76,30.59,4,174,33434.3,-10442.08
23,BC,Conference,Brand,195.88,193.65,0.05,2.6,38.53,3,208,38704.13,-14406.86
49,Ontario,Conference,Brand,231.71,221.27,0.182,41.67,46.74,1,297,56325.69,-14116.88
45,Alberta,Digital_Ads,Brand,225.32,218.39,0.062,17.56,33.21,5,140,29591.7,-14548.21
32,Quebec,Rep_Visit,Brand,207.68,203.58,0.186,18.15,4.65,12,276,46670.88,20268.1
24,Quebec,Email,Brand,224.25,215.95,0.105,21.42,16.5,4,201,40354.84,8406.1
26,BC,Rep_Visit,Brand,216.15,208.04,0.25,11.76,33.28,8,243,39409.98,-9340.02
52,Ontario,Digital_Ads,Brand,247.37,251.05,0.202,17.04,10.91,1,235,46388.73,18300.09
8,Quebec,Rep_Visit,Brand,192.02,184.76,0.316,20.15,24.63,9,355,46635.2,-4280.52
36,Ontario,Conference,Brand,215.81,200.95,0.35,19.51,10.92,3,315,44186.64,9868.42
45,Quebec,Digital_Ads,Generic,62.55,64.13,0.324,20.75,12.27,4,414,17504.32,-2292.96
11,Ontario,Conference,Brand,185.7,176.26,0.087,36.5,41.47,4,295,50019.79,-14160.51
39,Quebec,Conference,Brand,208.88,195.38,0.244,11.09,11.53,4,281,44358.97,10799.62
32,Alberta,Email,Generic,70.8,64.48,0.35,15.26,3.41,1,218,10031.74,2988.98
42,Ontario,Conference,Brand,161.69,161.76,0.022,18.41,8.54,4,286,45212.51,12637.7
28,Quebec,Digital_Ads,Brand,217.72,195.27,0.092,12.59,16.93,5,181,35793.29,5131.37
38,BC,Rep_Visit,Generic,60.53,58.82,0.35,25.29,24.22,9,446,17546.36,-19419.6
36,Ontario,Conference,Brand,205.97,206.33,0.151,13.77,8.26,3,282,49324.04,19946.2
36,BC,Email,Brand,216.68,193.82,0.35,34.82,34.9,2,211,29717.63,-20933.19
40,Ontario,Rep_Visit,Brand,201.88,190.69,0.041,32.67,17.82,8,274,53050.87,13021.0
29,Quebec,Digital_Ads,Brand,220.74,202.0,0.123,39.14,56.03,2,265,51328.91,-23719.96
39,Ontario,Digital_Ads,Brand,223.73,215.56,0.073,19.97,31.08,3,274,56837.28,3462.16
31,Ontario,Rep_Visit,Generic,59.15,56.92,0.168,10.85,23.81,10,654,32202.51,-6307.36
46,Ontario,Conference,Brand,211.36,206.73,0.35,10.39,6.59,4,313,43002.2,17380.74
36,Quebec,Rep_Visit,Brand,199.36,203.67,0.173,15.18,12.94,11,283,46679.41,12940.38
22,Alberta,Conference,Brand,203.92,212.67,0.271,28.6,14.31,0,176,26157.61,-1665.57
40,Ontario,Conference,Brand,249.38,231.57,0.307,31.59,32.38,3,303,52394.25,-1205.36
49,Alberta,Rep_Visit,Generic,71.5,66.26,0.054,22.75,35.24,14,346,23401.17,-18811.32
2,Ontario,Conference,Generic,71.64,69.41,0.255,33.94,61.86,2,538,28716.85,-41560.49
30,Ontario,Email,Brand,211.99,191.84,0.134,31.87,8.19,4,250,45887.61,18621.21
40,Ontario,Digital_Ads,Generic,77.13,65.88,0.045,25.8,11.17,3,433,31883.57,9481.23
43,Ontario,Rep_Visit,Generic,60.11,59.8,0.305,30.02,25.61,7,639,26708.09,-6822.03
50,Ontario,Email,Brand,214.6,210.14,0.08,16.21,3.57,3,234,46211.64,25009.81
35,Quebec,Digital_Ads,Brand,216.07,201.79,0.009,22.2,33.26,0,229,49060.03,-4189.34
51,BC,Rep_Visit,Brand,200.45,220.54,0.35,39.02,4.34,7,232,30228.28,9181.39
15,Quebec,Conference,Generic,54.46,50.09,0.137,26.56,53.61,3,483,22704.78,-43038.05
41,Quebec,Conference,Generic,84.78,84.43,0.34,29.33,52.34,2,440,24632.33,-37786.51
31,BC,Rep_Visit,Generic,61.32,60.28,0.108,32.43,34.87,11,447,24443.33,-21072.78
30,BC,Email,Generic,83.91,75.38,0.35,27.13,14.21,2,326,17780.6,-2715.54
42,Quebec,Rep_Visit,Generic,82.49,83.33,0.144,27.55,8.41,12,465,32845.51,12403.97
1,Ontario,Digital_Ads,Generic,67.51,63.29,0.345,25.63,29.93,7,576,25470.09,-20525.67
19,Alberta,Email,Generic,54.1,52.88,0.274,7.76,10.14,4,292,11474.24,-5476.9
17,Ontario,Rep_Visit,Brand,225.81,212.11,0.35,26.35,14.71,11,396,58122.58,10777.93
5,Ontario,Digital_Ads,Brand,216.22,198.13,0.132,37.1,13.54,0,229,42998.84,12174.89
28,Alberta,Rep_Visit,Brand,225.14,222.75,0.216,25.94,14.12,13,209,36900.92,8233.0
21,Quebec,Rep_Visit,Generic,60.76,55.82,0.111,21.38,34.31,12,555,29981.91,-17512.96
18,Ontario,Rep_Visit,Generic,70.15,67.48,0.225,34.66,14.88,2,507,27564.3,590.98
50,Ontario,Email,Generic,78.42,70.35,0.083,12.99,25.62,3,460,33094.31,-1493.67
6,Alberta,Email,Brand,190.59,183.97,0.35,16.04,22.48,4,208,25768.02,-12293.8
25,BC,Conference,Generic,63.54,62.25,0.207,48.21,32.64,2,336,16920.35,-23004.11
42,Alberta,Email,Brand,194.45,182.44,0.295,40.83,15.71,2,168,23016.91,-4181.92
4,Alberta,Email,Generic,53.3,57.28,0.068,20.36,35.88,3,335,16650.23,-27632.6
22,Quebec,Digital_Ads,Brand,231.92,209.36,0.116,7.93,37.57,3,193,39570.92,-11942.58
7,BC,Email,Brand,230.46,199.8,0.165,5.01,50.74,1,164,31546.55,-32222.62
11,BC,Email,Generic,63.17,62.11,0.047,15.51,41.9,1,350,21063.37,-28683.87
21,Ontario,Rep_Visit,Generic,58.77,54.45,0.346,36.75,18.72,10,639,24567.45,-8351.34
45,Alberta,Rep_Visit,Generic,65.5,67.01,0.115,12.42,11.06,12,383,22201.33,2980.7
4,Quebec,Rep_Visit,Brand,204.41,182.23,0.157,10.64,21.24,8,226,38927.72,-2202.61
44,Quebec,Conference,Brand,229.97,237.08,0.321,11.74,3.23,4,234,36516.23,16882.49
31,Quebec,Conference,Brand,208.68,192.28,0.098,30.91,13.56,2,169,31813.74,4909.45
4,Alberta,Email,Brand,227.79,213.76,0.101,39.77,17.2,0,151,30937.88,1652.33
6,BC,Rep_Visit,Brand,216.27,202.72,0.19,17.23,3.38,15,187,32767.63,15509.16
38,Quebec,Digital_Ads,Generic,56.58,57.96,0.175,18.08,35.99,3,468,21845.75,-20428.71
27,Quebec,Conference,Generic,61.73,57.22,0.102,11.01,78.62,0,468,25943.11,-63012.41
6,Alberta,Conference,Brand,208.39,199.99,0.109,29.53,23.37,3,164,30451.89,-4526.18
39,BC,Conference,Generic,56.1,53.52,0.038,33.94,10.77,3,293,15804.92,-799.85
51,Quebec,Digital_Ads,Brand,203.75,194.0,0.284,42.36,7.17,3,240,35019.37,10178.96
12,BC,Conference,Brand,200.09,197.75,0.251,35.42,20.61,4,233,34901.46,-4970.3
22,Alberta,Conference,Brand,204.45,205.54,0.132,29.64,18.76,4,176,31222.81,597.98
10,Quebec,Rep_Visit,Brand,196.83,194.5,0.173,19.39,24.45,11,350,57000.26,5887.99
1,Quebec,Rep_Visit,Brand,189.36,182.61,0.211,9.7,11.53,12,303,45265.03,15911.68
14,Ontario,Conference,Brand,202.71,210.81,0.041,22.22,3.65,3,249,48424.74,27707.15
32,Quebec,Email,Generic,80.84,80.03,0.109,44.46,9.18,4,341,24571.72,9941.25
20,BC,Email,Brand,213.72,207.8,0.297,25.67,26.53,5,221,33183.09,-8377.72
46,Quebec,Digital_Ads,Brand,203.37,191.46,0.35,18.79,4.9,1,222,29346.22,8697.39
42,BC,Conference,Brand,204.56,192.57,0.077,23.47,19.22,3,180,33998.39,1070.87
4,Ontario,Rep_Visit,Brand,227.22,191.95,0.087,29.24,19.79,8,272,56426.23,15523.23
18,BC,Rep_Visit,Brand,188.54,175.0,0.121,19.03,73.84,15,279,46234.3,-49204.11
40,Quebec,Email,Brand,197.1,185.38,0.323,22.72,48.57,2,265,35352.33,-34788.28
7,Alberta,Conference,Generic,69.46,70.52,0.18,3.88,24.02,4,326,18567.03,-12428.59
20,Ontario,Rep_Visit,Generic,93.0,83.88,0.096,30.82,19.76,11,522,43909.8,13651.44
50,Ontario,Rep_Visit,Brand,211.53,208.4,0.153,9.91,21.4,6,315,56461.17,11885.71
47,Ontario,Rep_Visit,Brand,213.01,210.75,0.203,29.08,3.14,6,250,42422.78,21895.55
37,Alberta,Digital_Ads,Brand,207.26,200.02,0.162,18.4,34.76,4,174,30227.37,-16445.01
46,Quebec,Email,Brand,246.6,230.57,0.214,34.34,65.72,4,250,48470.22,-34598.88
24,Alberta,Conference,Generic,66.22,67.04,0.303,26.1,22.96,3,324,14950.23,-13205.61
11,BC,Digital_Ads,Brand,215.5,204.85,0.15,25.83,23.29,3,198,36282.04,-3102.31
16,Alberta,Digital_Ads,Brand,212.2,203.44,0.246,36.04,36.37,4,143,22865.94,-25104.29
35,Ontario,Rep_Visit,Brand,184.91,164.06,0.225,35.7,9.27,21,409,58610.57,19403.09
31,Quebec,Digital_Ads,Brand,197.07,177.23,0.28,27.97,39.44,4,278,39426.11,-20781.75
31,Alberta,Digital_Ads,Brand,205.87,204.84,0.099,24.55,16.13,4,161,29871.56,3351.67
47,Quebec,Email,Generic,64.95,61.36,0.35,33.26,27.58,2,435,18363.32,-17092.93
15,Alberta,Digital_Ads,Brand,220.89,227.11,0.145,29.32,41.71,3,163,30781.11,-23658.62
4,BC,Email,Brand,215.89,210.63,0.241,26.15,32.59,3,215,35214.45,-13808.12
6,Ontario,Rep_Visit,Generic,51.05,44.85,0.231,39.6,31.85,14,704,27629.88,-22870.49
26,Ontario,Email,Brand,247.26,247.31,0.074,21.89,20.76,1,194,44397.55,7530.51
26,BC,Conference,Brand,202.02,206.26,0.16,19.04,49.62,4,246,41720.26,-26276.95
5,Ontario,Conference,Brand,221.71,211.91,0.141,18.38,13.89,5,284,54105.2,19238.76
29,Alberta,Conference,Brand,206.62,196.68,0.268,35.08,58.2,1,197,29788.51,-41793.07
16,BC,Conference,Generic,63.16,66.69,0.253,25.02,15.25,1,341,16097.93,-7479.57
9,BC,Email,Brand,177.65,173.16,0.295,29.65,43.7,6,274,34329.12,-32306.78
9,Alberta,Rep_Visit,Brand,167.75,160.64,0.289,7.16,43.55,10,287,34244.23,-30497.65
23,BC,Conference,Generic,53.76,54.55,0.272,35.8,7.71,4,339,13258.9,-962.48
5,BC,Rep_Visit,Generic,57.4,60.01,0.101,42.45,21.64,8,387,19973.64,-8200.45
1,Ontario,Digital_Ads,Brand,216.13,218.34,0.087,30.16,55.32,1,275,54276.0,-20445.11
2,Alberta,Email,Brand,167.47,155.43,0.176,25.98,25.41,2,177,24428.35,-14489.44
45,Ontario,Conference,Generic,72.19,69.31,0.117,23.13,9.39,3,436,27795.22,8571.6
7,BC,Digital_Ads,Generic,58.98,56.61,0.166,25.33,9.45,5,310,15241.63,-148.35
9,Alberta,Rep_Visit,Generic,59.7,60.31,0.208,39.41,8.11,7,284,13434.72,-1607.09
29,Quebec,Digital_Ads,Brand,215.81,210.25,0.112,35.54,7.43,2,183,35075.57,11848.31
8,BC,Digital_Ads,Brand,199.11,206.09,0.096,32.02,17.11,4,191,34386.22,4115.29
44,Quebec,Email,Generic,64.74,59.3,0.314,28.78,22.94,4,435,19311.75,-14929.27
35,Ontario,Rep_Visit,Brand,229.48,224.32,0.151,27.13,14.77,11,301,58633.15,22167.0
3,BC,Digital_Ads,Brand,189.3,174.54,0.253,14.28,51.19,4,260,36777.09,-31721.02
43,BC,Rep_Visit,Brand,189.19,178.85,0.052,45.66,7.52,10,200,35865.9,13085.07
27,Ontario,Digital_Ads,Brand,182.37,158.28,0.061,41.7,40.9,5,319,54605.01,-10680.26
49,BC,Digital_Ads,Brand,182.63,177.99,0.104,43.68,37.82,1,193,31586.83,-21714.45
10,Quebec,Rep_Visit,Brand,187.12,184.06,0.149,11.43,35.57,9,293,46659.12,-8988.54
29,Ontario,Digital_Ads,Brand,218.3,186.4,0.214,34.01,10.72,3,199,34127.0,9670.68
37,BC,Rep_Visit,Generic,72.46,70.65,0.325,23.69,25.1,15,462,22589.5,-14183.75
43,Quebec,Digital_Ads,Generic,77.22,70.99,0.135,41.61,37.03,4,436,29123.1,-16705.85
23,Alberta,Conference,Generic,56.32,53.13,0.077,24.64,21.26,4,336,17462.76,-12627.26
7,Ontario,Conference,Generic,69.07,67.99,0.228,24.34,21.98,4,544,29000.4,-7117.23
23,Alberta,Email,Brand,216.77,212.61,0.095,36.09,28.24,3,122,23926.23,-12753.07
17,Quebec,Email,Generic,62.78,54.22,0.147,58.23,9.83,4,352,18852.93,1583.58
23,Ontario,Rep_Visit,Generic,74.75,73.55,0.023,24.74,10.12,12,543,39659.33,19079.48
30,Alberta,Conference,Brand,214.51,209.41,0.242,29.52,57.82,0,234,38039.15,-36702.74
11,Quebec,Rep_Visit,Generic,61.73,58.39,0.267,24.25,33.9,6,529,23924.18,-21229.53
22,Ontario,Rep_Visit,Brand,227.43,209.53,0.263,29.24,8.15,8,302,50640.54,18562.01
7,BC,Email,Brand,197.96,197.91,0.241,45.39,67.46,1,192,28845.12,-52546.69
51,Alberta,Rep_Visit,Brand,220.66,224.43,0.17,28.9,59.12,5,210,38472.0,-38032.72
9,Quebec,Email,Generic,58.11,56.24,0.35,29.54,1.41,3,312,11783.71,2925.84
7,Quebec,Email,Brand,170.8,159.14,0.214,25.6,31.63,3,290,38939.59,-15807.39
13,Quebec,Rep_Visit,Brand,202.08,202.04,0.12,37.7,22.4,15,304,54036.95,9624.82
16,BC,Rep_Visit,Brand,218.66,195.27,0.177,17.66,10.02,13,214,38495.59,12424.62
9,Alberta,Email,Brand,213.52,197.35,0.336,43.53,63.42,4,187,26493.04,-50088.82
49,Quebec,Rep_Visit,Brand,179.57,181.97,0.165,35.79,23.33,15,342,51307.23,1469.95
50,Ontario,Conference,Brand,212.21,198.49,0.028,18.63,13.18,0,238,49083.68,20765.69
1,Ontario,Rep_Visit,Brand,198.61,190.71,0.131,37.83,44.66,11,364,62796.52,-6163.82
31,BC,Email,Generic,83.19,78.15,0.232,25.08,23.95,2,302,19281.81,-11707.72
15,Ontario,Rep_Visit,Brand,213.86,209.11,0.147,36.52,31.65,11,341,62210.98,7047.94
6,BC,Conference,Generic,70.49,63.99,0.35,7.06,33.71,4,374,17135.42,-23716.75
45,Alberta,Rep_Visit,Brand,191.9,196.48,0.235,20.2,12.45,8,238,34959.44,5024.88
33,Alberta,Rep_Visit,Brand,246.05,213.22,0.006,15.73,0.61,8,68,16633.87,11617.38
5,Alberta,Email,Brand,184.96,180.8,0.037,33.46,11.21,1,133,23683.99,3098.01
46,Quebec,Digital_Ads,Brand,205.48,169.7,0.084,22.04,17.91,5,210,39536.65,6818.78
4,Quebec,Rep_Visit,Brand,182.66,163.09,0.288,27.07,21.52,11,375,48784.9,-145.57
2,Ontario,Digital_Ads,Generic,63.66,57.68,0.058,41.32,7.9,2,417,25001.64,7266.73
36,BC,Conference,Generic,64.23,62.43,0.223,21.31,5.92,3,310,15478.31,2282.42
49,Ontario,Rep_Visit,Brand,200.27,185.22,0.174,20.28,26.3,7,366,60530.64,10613.33
4,Ontario,Email,Brand,221.38,224.84,0.052,15.99,4.19,3,203,42611.94,22643.62
34,Alberta,Rep_Visit,Brand,243.49,214.09,0.214,49.5,30.58,13,184,35200.47,-11790.82
42,Quebec,Email,Generic,68.68,69.19,0.35,23.69,63.82,5,484,21606.76,-48617.75
26,Quebec,Digital_Ads,Brand,219.5,214.25,0.35,42.64,17.54,1,275,39235.67,1465.06
2,Quebec,Email,Generic,67.75,68.23,0.183,26.0,18.44,6,413,22864.45,-4515.48
8,Quebec,Rep_Visit,Brand,212.9,203.56,0.098,24.97,18.72,7,275,52785.92,13662.84
24,Ontario,Rep_Visit,Brand,206.08,212.16,0.087,8.22,35.09,8,329,61920.73,-623.16
37,Alberta,Email,Generic,76.73,76.67,0.192,5.1,17.61,4,271,16801.54,-5697.34
37,Ontario,Email,Brand,217.02,210.32,0.289,16.38,19.4,5,309,47674.04,6580.58
16,Alberta,Rep_Visit,Brand,185.96,184.68,0.198,18.9,6.3,8,201,29968.01,9437.74
45,BC,Rep_Visit,Brand,174.7,172.08,0.227,28.68,2.9,14,246,33218.63,11840.86
19,Ontario,Conference,Brand,197.65,196.81,0.108,32.56,2.47,3,222,39149.2,18520.13
18,Ontario,Rep_Visit,Brand,234.09,223.03,0.328,2.41,16.7,6,324,50957.81,13308.0
31,Alberta,Email,Brand,193.3,182.96,0.221,17.54,23.89,3,198,29818.61,-8292.89
15,Quebec,Rep_Visit,Brand,236.58,224.67,0.286,26.63,11.02,7,274,46285.91,14549.46
38,Alberta,Digital_Ads,Brand,186.64,182.81,0.172,29.21,28.65,0,200,30894.16,-12232.88
14,Quebec,Conference,Brand,206.2,200.3,0.333,29.16,30.44,3,273,37549.44,-13835.03
40,BC,Email,Generic,58.17,58.43,0.141,26.43,8.69,1,297,14838.39,-983.01
36,Alberta,Conference,Generic,45.8,49.84,0.146,25.51,14.57,2,299,11691.15,-10558.77
48,Ontario,Email,Brand,216.42,213.26,0.227,40.89,44.85,3,313,52347.01,-14670.34
37,Ontario,Email,Brand,229.42,206.59,0.341,39.1,65.25,1,303,45832.68,-42629.64
36,Alberta,Conference,Brand,220.81,188.54,0.099,22.81,24.29,3,129,25660.82,-8160.93
12,Alberta,Email,Brand,223.6,232.49,0.299,35.15,29.83,3,185,28980.95,-14928.19
46,Ontario,Rep_Visit,Brand,193.53,205.5,0.161,21.17,13.96,13,351,56967.39,17053.43
38,Quebec,Rep_Visit,Brand,208.03,203.25,0.192,33.33,37.09,9,329,55325.01,-5543.69
26,Ontario,Email,Generic,55.55,53.21,0.233,22.74,40.7,1,501,21338.51,-29136.6
1,Ontario,Rep_Visit,Generic,61.44,55.44,0.35,16.79,23.17,10,644,25720.26,-10674.45
47,BC,Conference,Generic,70.46,67.39,0.101,44.06,13.02,3,302,19137.2,-1399.97
38,Ontario,Digital_Ads,Brand,197.93,177.47,0.044,21.54,2.82,3,190,35958.13,18970.33
24,BC,Conference,Brand,200.63,201.87,0.092,12.68,8.29,3,195,35541.89,12526.49
27,Ontario,Rep_Visit,Generic,51.02,45.8,0.211,14.25,8.21,9,557,22434.65,1234.37
45,Ontario,Conference,Brand,211.36,217.71,0.35,29.37,14.67,1,339,46573.3,3976.11
2,Alberta,Conference,Generic,75.64,72.04,0.35,20.71,52.79,3,348,17110.33,-43416.37
14,Alberta,Rep_Visit,Brand,219.3,218.14,0.201,43.66,51.76,7,228,39944.73,-27348.45
31,Alberta,Email,Brand,204.24,203.54,0.35,39.22,21.83,1,190,25223.73,-12238.01
11,Ontario,Digital_Ads,Brand,210.44,199.06,0.137,28.37,0.8,4,196,35589.61,20632.67
13,Ontario,Email,Brand,198.75,198.67,0.294,9.71,33.84,5,389,54575.55,-7412.87
4,Quebec,Rep_Visit,Generic,66.65,64.63,0.152,25.02,40.17,12,572,32328.04,-16750.07
21,Alberta,Digital_Ads,Generic,55.38,52.11,0.252,22.07,14.42,4,272,11269.39,-7807.76
29,Quebec,Rep_Visit,Brand,213.96,215.19,0.143,28.75,2.13,10,222,40704.8,22654.14
39,Ontario,Digital_Ads,Brand,192.05,174.51,0.104,26.87,22.06,2,285,49038.08,7148.16
41,Ontario,Digital_Ads,Brand,221.74,223.03,0.09,19.32,23.13,3,250,50429.44,10332.87
46,Ontario,Rep_Visit,Generic,65.32,64.25,0.126,20.46,3.4,10,516,29472.93,13605.02
7,Ontario,Digital_Ads,Brand,181.09,169.07,0.193,22.24,4.22,1,276,40327.32,15086.18
29,Quebec,Rep_Visit,Brand,235.86,232.16,0.083,26.33,19.55,13,275,59509.8,20166.28
23,Alberta,Rep_Visit,Brand,236.83,236.26,0.177,27.9,6.36,9,190,37028.46,15960.79
36,Quebec,Digital_Ads,Generic,69.42,70.06,0.088,23.05,16.88,1,384,24319.82,-338.26
11,Ontario,Email,Generic,72.41,71.09,0.148,35.55,27.56,2,433,26713.58,-10189.93
24,BC,Conference,Brand,230.53,221.24,0.046,23.0,14.18,3,155,34104.67,8902.06
50,Ontario,Email,Brand,210.99,204.89,0.065,40.97,21.99,2,245,48325.1,8523.28
10,BC,Rep_Visit,Brand,185.41,174.27,0.111,59.6,15.65,14,203,33450.9,3189.24
21,Quebec,Digital_Ads,Generic,66.52,64.7,0.262,16.21,1.71,1,290,14229.86,5657.71
22,Ontario,Conference,Generic,65.78,64.74,0.133,13.27,35.33,6,590,33631.46,-11577.66
10,Quebec,Digital_Ads,Brand,225.81,235.06,0.35,27.87,6.93,2,265,38896.19,13215.73
52,Ontario,Digital_Ads,Generic,72.63,70.69,0.22,20.57,19.34,2,503,28507.86,-422.56
2,Ontario,Email,Brand,193.33,191.46,0.053,20.6,15.71,4,269,49249.67,12981.97
13,BC,Email,Brand,194.2,183.56,0.099,25.34,27.65,1,184,32190.11,-8009.1
47,Ontario,Conference,Generic,55.58,56.41,0.108,17.44,29.8,1,511,25340.56,-14230.28
15,Quebec,Conference,Brand,202.69,188.24,0.35,22.89,6.04,3,254,33463.62,9578.97
25,Ontario,Conference,Generic,53.76,53.36,0.253,28.26,14.49,0,530,21291.98,-5238.67
23,Ontario,Rep_Visit,Brand,218.09,201.55,0.084,20.24,25.99,8,272,54331.47,5937.61
47,Alberta,Conference,Brand,237.44,216.41,0.191,3.8,35.05,2,175,33621.86,-15257.88
3,Ontario,Rep_Visit,Generic,57.97,56.35,0.167,40.92,18.62,13,622,30042.67,-6024.65
43,BC,Conference,Brand,230.94,246.51,0.131,31.72,11.07,3,180,36116.82,11825.81
40,Quebec,Email,Generic,65.5,66.44,0.237,19.21,7.25,3,400,19994.29,4808.7
8,Ontario,Rep_Visit,Generic,63.2,62.48,0.296,44.39,24.52,6,568,25287.19,-13557.56
11,Quebec,Rep_Visit,Brand,196.49,193.39,0.35,33.76,20.98,9,369,47128.43,-5803.46
45,Quebec,Conference,Generic,61.38,59.24,0.107,23.67,29.96,5,489,26789.6,-12848.43
